Season,Episode,Rating
8,Winterfell,7.6
8,A Knight of the Seven Kingdoms,7.9
8,The Long Night,7.5
8,The Last of the Starks,5.5
8,The Bells,5.9
8,The Iron Throne,4.0
7,Dragonstone,8.5
7,Stormborn,8.8
7,The Queen's Justice,9.1
7,The Spoils of War,9.7
7,Eastwatch,8.7
7,Beyond the Wall,9.0
7,The Dragon and the Wolf,9.4
6,The Red Woman,8.4
6,Home,9.3
6,Oathbreaker,8.6
6,Book of the Stranger,9.0
6,The Door,9.7
6,Blood of My Blood,8.3
6,The Broken Man,8.5
6,No One,8.3
6,Battle of the Bastards,9.9
6,The Winds of Winter,9.9
5,The Wars to Come,8.3
5,The House of Black and White,8.3
5,High Sparrow,8.4
5,Sons of the Harpy,8.5
5,Kill the Boy,8.5
5,"Unbowed, Unbent, Unbroken",7.9
5,The Gift,8.8
5,Hardhome,9.8
5,The Dance of Dragons,9.4
5,Mother's Mercy,9.1
4,Two Swords,9.0
4,The Lion and the Rose,9.7
4,Breaker of Chains,8.7
4,Oathkeeper,8.7
4,First of His Name,8.6
4,The Laws of Gods and Men,9.7
4,Mockingbird,9.0
4,The Mountain and the Viper,9.7
4,The Watchers on the Wall,9.6
4,The Children,9.6
3,Valar Dohaeris,8.6
3,"Dark Wings, Dark Words",8.5
3,Walk of Punishment,8.7
3,And Now His Watch Is Ended,9.5
3,Kissed by Fire,8.9
3,The Climb,8.7
3,The Bear and the Maiden Fair,8.6
3,Second Sons,8.9
3,The Rains of Castamere,9.9
3,Mhysa,9.1
2,The North Remembers,8.6
2,The Night Lands,8.4
2,What Is Dead May Never Die,8.7
2,Garden of Bones,8.6
2,The Ghost of Harrenhal,8.6
2,The Old Gods and the New,8.9
2,A Man Without Honor,8.8
2,The Prince of Winterfell,8.6
2,Blackwater,9.6
2,Valar Morghulis,9.3
1,Winter Is Coming,8.9
1,The Kingsroad,8.6
1,Lord Snow,8.5
1,"Cripples, Bastards, and Broken Things",8.6
1,The Wolf and the Lion,9.0
1,A Golden Crown,9.1
1,You Win or You Die,9.1
1,The Pointy End,8.9
1,Baelor,9.6
1,Fire and Blood,9.4
